mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10264770189921062,0.0043427867037378574,0.006605466206868489,8.039440862892782e-05,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.875,0.8481012658227848,0.8410337552742616,0.03102377882651857,6
0.19555926322937012,0.002531870277429638,0.010000467300415039,0.0006569871583137427,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.875,0.8481012658227848,0.8410337552742616,0.03102377882651857,6
0.09938828150431316,0.003385913532812534,0.006393750508626302,0.00011108111254388143,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.8,0.875,0.8607594936708861,0.845253164556962,0.03252265550804029,2
0.15450390179951987,0.01658472744678744,0.006073554356892903,0.00011351701424330822,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.8,0.8875,0.8607594936708861,0.8494198312236287,0.03661059462608514,1
0.09159262975056966,0.012517021544437032,0.005280653635660808,0.0014256624893978366,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.8,0.875,0.8607594936708861,0.845253164556962,0.03252265550804029,2
0.17915995915730795,0.0016466408963869458,0.006141106287638347,8.838210993244346e-05,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.8,0.8625,0.8481012658227848,0.836867088607595,0.026723492202887923,8
0.08845361073811848,0.007769167517728185,0.004833539326985677,0.0010234770480615056,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.8,0.8625,0.8607594936708861,0.8410864978902954,0.02906122929537284,5
0.14382298787434897,0.007610184397017732,0.005714575449625651,1.2759787752475045e-05,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.8,0.875,0.8607594936708861,0.845253164556962,0.03252265550804029,2
