feature,importance
time,0.40269643233299424
serum_creatinine,0.16021996802946475
ejection_fraction,0.1285890457798074
creatinine_phosphokinase,0.07385222074966052
platelets,0.06531855089335303
age,0.06522651839347403
serum_sodium,0.05523342020728245
diabetes,0.012163344406135743
smoking,0.010216948755997497
high_blood_pressure,0.009983996879816824
anaemia,0.009736646263682903
sex,0.006762907308330543
